,tempmax,tempmin,Steps,FC,Distance,Asymmetry,WDS,Speed,Step Length
64,53.8,34.0,6337.0,20.0,2.43,0.0,27.76,2.8,25.43
51,42.6,26.8,7304.0,21.0,2.86,0.833,28.82,2.47,25.73
82,39.6,28.7,4936.0,13.0,1.81,2.0,27.83,2.82,26.08
57,52.7,31.5,3310.0,7.0,1.37,0.0,27.18,2.92,25.59
75,52.2,36.5,6321.0,19.0,2.38,1.86,28.29,2.8,25.33
81,43.3,27.9,3235.0,7.0,1.21,0.4,27.94,2.85,26.26
84,45.2,27.8,7992.0,13.0,3.0,0.133,27.99,2.9,26.09
3,34.2,26.2,5933.0,15.0,2.26,0.6,27.15,2.91,25.86
65,59.1,35.8,8816.0,16.0,3.34,0.062,27.88,2.8,25.55
77,53.2,27.9,12779.0,32.0,5.14,0.414,27.72,2.86,26.5
27,45.8,31.6,6054.0,17.0,2.3,0.0,27.4,2.95,26.45
18,43.7,26.6,6146.0,11.0,2.42,0.0,27.39,2.7,26.88
53,46.9,38.7,3496.0,19.0,1.24,0.0,27.17,2.89,25.47
54,49.7,40.6,5201.0,18.0,1.92,1.9,27.88,2.86,25.96
76,52.0,31.6,5898.0,19.0,2.15,0.25,28.34,2.73,25.31
62,50.6,40.3,5811.0,13.0,2.17,0.455,27.93,2.77,25.32
58,52.2,38.8,12663.0,30.0,5.05,0.865,27.68,2.87,26.28
4,31.5,27.9,4956.0,12.0,1.78,0.0,27.91,2.74,24.95
15,28.6,21.5,5577.0,13.0,2.08,0.7,27.15,3.0,26.79
17,42.6,27.3,5568.0,18.0,2.14,2.0,28.17,2.72,24.99
43,49.0,43.1,10513.0,33.0,4.0,0.939,27.48,2.91,26.04
41,51.6,37.6,7833.0,14.0,2.96,0.118,28.11,2.78,25.55
5,30.4,28.1,6372.0,16.0,2.4,0.917,28.01,2.83,25.86
83,41.2,30.9,5554.0,18.0,2.12,0.071,27.16,2.97,26.85
71,52.3,31.4,4194.0,14.0,1.52,0.0,28.19,2.79,25.57
0,38.0,34.1,6259.0,20.0,2.36,0.1,27.64,2.83,25.36
37,21.0,5.0,10839.0,28.0,4.12,0.0,27.71,2.87,25.95
28,48.2,28.9,7052.0,18.0,2.75,0.35,27.53,2.9,26.29
11,37.8,25.1,5579.0,19.0,2.04,0.429,27.43,2.92,26.41
38,26.2,13.6,4019.0,14.0,1.51,3.82,27.99,2.82,25.32
23,49.8,26.5,7871.0,21.0,3.06,0.357,27.94,2.78,25.65
55,54.6,41.0,5012.0,15.0,1.88,0.286,27.31,2.95,26.52
10,31.1,21.1,12725.0,43.0,5.4,0.143,27.18,2.94,25.92
31,45.6,34.2,5087.0,22.0,1.93,0.0,29.56,2.41,23.48
63,60.7,38.0,8574.0,16.0,3.28,0.222,27.51,2.83,26.48
60,47.2,29.0,6599.0,22.0,2.69,0.077,28.15,2.83,27.1
74,55.2,32.7,5423.0,9.0,2.04,0.667,28.09,2.84,26.22
1,39.1,31.8,7196.0,17.0,2.84,0.267,27.22,3.01,26.82
32,44.4,30.7,3300.0,5.0,1.26,1.33,28.09,2.58,26.02
78,66.1,32.5,6127.0,13.0,2.32,0.909,28.4,2.67,25.35
14,24.6,16.6,8329.0,27.0,3.08,0.35,27.46,2.88,25.71
86,41.3,29.4,5979.0,22.0,2.23,2.42,27.91,2.76,25.31
19,46.6,27.9,5708.0,18.0,2.2,0.0,27.51,2.92,27.18
29,43.7,28.8,3795.0,21.0,1.45,0.143,27.92,2.77,26.06
52,58.8,35.2,3502.0,12.0,1.22,11.0,28.03,2.75,27.44
88,47.3,31.6,3906.0,6.0,1.52,2.17,27.96,2.83,25.85
89,56.8,34.5,5666.0,18.0,2.23,0.7,27.37,2.96,26.28
72,52.4,31.0,16432.0,26.0,6.2,0.343,27.16,2.93,26.43
20,44.9,29.1,5078.0,13.0,1.88,0.2,28.13,2.87,26.13
85,39.6,30.8,6542.0,17.0,2.42,0.917,27.93,2.77,25.93
25,48.8,24.7,4905.0,11.0,1.87,0.111,28.04,2.79,25.47
40,41.0,14.6,7883.0,27.0,3.16,1.07,27.79,2.79,25.53
49,34.8,22.9,3927.0,8.0,1.5,3.07,28.77,2.5,24.28
42,58.8,47.0,9453.0,19.0,3.56,0.81,27.59,2.85,26.52
68,65.1,43.0,5032.0,13.0,1.82,0.417,27.6,2.91,26.41
61,43.6,35.1,10007.0,26.0,3.83,0.278,28.04,2.77,25.51
12,36.7,23.8,4415.0,13.0,1.68,0.556,27.87,2.62,24.53
73,54.8,39.2,6868.0,21.0,2.63,1.46,28.13,2.73,24.98
39,29.9,11.7,5113.0,11.0,1.9,0.0,28.15,2.75,24.66
21,49.9,31.2,11006.0,28.0,4.34,0.0,27.58,2.89,26.5
9,31.4,20.5,9399.0,40.0,3.53,0.056,27.77,2.78,24.99
87,46.2,26.5,4761.0,8.0,1.7,1.0,27.71,2.82,25.64
70,57.1,41.4,9582.0,26.0,3.64,2.25,27.39,2.88,26.52
67,67.9,42.0,5939.0,17.0,2.13,0.0,27.86,2.73,25.96
50,38.7,21.0,4103.0,13.0,1.61,0.0,28.86,2.49,23.27
47,52.4,32.7,2074.0,7.0,0.78,17.5,28.61,2.67,25.38
